x,y_detected,baseline_y,deflection_y_px,modified_z,confidence
0,20.0,18.860065,1.1399345,0.9576764,0.27727273
1,20.0,18.855772,1.144228,0.96159774,0.27272728
2,20.0,18.851479,1.1485214,0.9655191,0.27272728
3,20.0,18.847185,1.1528149,0.96944046,0.22727273
4,18.0,18.842892,-0.8428917,-0.8533052,0.17272727
5,20.0,18.838598,1.1614017,0.9772831,0.2090909
6,21.0,18.834303,2.165697,1.8945397,0.24545455
7,21.0,18.83001,2.1699905,1.898461,0.47272727
8,21.0,18.825716,2.174284,1.9023824,0.45
9,21.0,18.821423,2.1785774,1.9063038,0.46818182
10,20.0,18.81713,1.1828709,0.99689156,0.3590909
11,19.0,18.812836,0.1871643,0.08747942,0.3909091
12,19.0,18.808542,0.19145775,0.091400765,0.36818182
13,19.0,18.804249,0.19575119,0.09532211,0.26818183
14,19.0,18.799955,0.20004463,0.09924345,0.28181818
15,18.0,18.795662,-0.7956619,-0.8101687,0.47727272
16,19.0,18.791368,0.20863152,0.107086144,0.39545456
17,17.0,18.787073,-1.7870731,-1.7156577,0.29090908
18,21.0,18.78278,2.2172203,1.9415976,0.27272728
19,21.0,18.778486,2.2215137,1.945519,0.29090908
20,19.0,18.774193,0.22580719,0.12277326,0.21818182
21,19.0,18.7699,0.23010063,0.1266946,0.22727273
22,20.0,18.765606,1.2343941,1.0439495,0.24090908
23,19.0,18.761312,0.23868752,0.1345373,0.26818183
24,19.0,18.757019,0.24298096,0.13845864,0.45454547
25,19.0,18.752726,0.2472744,0.14237998,0.46363637
26,19.0,18.748432,0.25156784,0.14630133,0.29545453
27,19.0,18.744137,0.2558632,0.1502244,0.19090909
28,19.0,18.739843,0.26015663,0.15414576,0.29545453
29,20.0,18.73555,1.2644501,1.0714006,0.45454547
30,19.0,18.731256,0.26874352,0.16198844,0.41363636
31,19.0,18.726963,0.27303696,0.16590978,0.3090909
32,19.0,18.72267,0.2773304,0.16983113,0.48636365
33,19.0,18.718376,0.28162384,0.17375249,0.79545456
34,19.0,18.714083,0.28591728,0.17767382,0.6636364
35,19.0,18.70979,0.29021072,0.18159516,0.4909091
36,19.0,18.705496,0.29450417,0.18551652,0.29545453
37,20.0,18.701202,1.2987976,1.1027713,0.19090909
38,19.0,18.696907,0.30309296,0.19336094,0.2090909
39,19.0,18.692614,0.3073864,0.19728228,0.26818183
40,19.0,18.68832,0.31167984,0.20120361,0.3409091
41,19.0,18.684027,0.31597328,0.20512497,0.38636363
42,19.0,18.679733,0.32026672,0.20904632,0.39545456
43,19.0,18.67544,0.32456017,0.21296765,0.3909091
44,19.0,18.671146,0.3288536,0.21688901,0.36363637
45,19.0,18.666853,0.33314705,0.22081035,0.32272726
46,19.0,18.66256,0.3374405,0.22473168,0.3
47,20.0,18.658266,1.3417339,1.1419865,0.21363637
48,19.0,18.653973,0.34602737,0.23257437,0.11818182
49,21.0,18.649677,2.3503227,2.0631645,0.11818182
50,21.0,18.645384,2.3546162,2.0670857,0.10909091
51,21.0,18.64109,2.3589096,2.071007,0.10909091
52,19.0,18.636797,0.36320305,0.24826151,0.1590909
53,19.0,18.632504,0.3674965,0.25218284,0.25
54,19.0,18.62821,0.37178993,0.25610417,0.25454545
55,19.0,18.623917,0.37608337,0.26002553,0.3409091
56,19.0,18.619623,0.38037682,0.26394686,0.29090908
57,19.0,18.61533,0.38467026,0.26786822,0.19545455
58,19.0,18.611036,0.3889637,0.27178958,0.15
59,19.0,18.606743,0.39325714,0.2757109,0.122727275
60,20.0,18.602448,1.3975525,1.1929674,0.14090909
61,20.0,18.598154,1.4018459,1.1968888,0.16818182
62,19.0,18.59386,0.40613937,0.2874767,0.20454545
63,19.0,18.589567,0.41043282,0.29139802,0.20454545
64,19.0,18.585274,0.41472626,0.29531938,0.2
65,19.0,18.58098,0.4190197,0.2992407,0.21818182
66,19.0,18.576687,0.42331314,0.30316207,0.29545453
67,19.0,18.572393,0.42760658,0.3070834,0.34545454
68,19.0,18.5681,0.43190002,0.31100473,0.33636364
69,19.0,18.563807,0.43619347,0.3149261,0.29090908
70,19.0,18.559513,0.4404869,0.31884745,0.25454545
71,20.0,18.555218,1.4447823,1.236104,0.26818183
72,17.0,18.550924,-1.5509243,-1.4999752,0.33636364
73,17.0,18.54663,-1.5466309,-1.4960538,0.5863636
74,19.0,18.542337,0.45766258,0.33453456,0.55454546
75,19.0,18.538044,0.46195602,0.3384559,0.5681818
76,17.0,18.53375,-1.5337505,-1.4842896,0.5
77,17.0,18.529457,-1.5294571,-1.4803685,0.43636364
78,18.0,18.525164,-0.52516365,-0.5631136,0.37727273
79,19.0,18.52087,0.4791298,0.35414127,0.46363637
80,19.0,18.516577,0.48342323,0.3580626,0.57272726
81,19.0,18.512281,0.48771858,0.3619857,0.6
82,19.0,18.507988,0.49201202,0.36590704,0.45909092
83,19.0,18.503695,0.49630547,0.3698284,0.24545455
84,19.0,18.499401,0.5005989,0.37374973,0.3181818
85,19.0,18.495108,0.50489235,0.37767106,0.3409091
86,19.0,18.490814,0.5091858,0.3815924,0.34545454
87,19.0,18.48652,0.51347923,0.38551378,0.3318182
88,19.0,18.482227,0.5177727,0.3894351,0.28181818
89,19.0,18.477934,0.5220661,0.39335647,0.29545453
90,19.0,18.47364,0.52635956,0.3972778,0.3181818
91,19.0,18.469347,0.530653,0.40119913,0.29545453
92,19.0,18.465052,0.53494835,0.40512225,0.3318182
93,19.0,18.460758,0.5392418,0.40904358,0.38181818
94,19.0,18.456465,0.54353523,0.4129649,0.3409091
95,19.0,18.452171,0.5478287,0.41688627,0.24545455
96,18.0,18.447878,-0.44787788,-0.49252588,0.23636363
97,17.0,18.443584,-1.4435844,-1.401938,0.24545455
98,19.0,18.439291,0.560709,0.42865032,0.19090909
99,19.0,18.434998,0.56500244,0.43257165,0.1590909
100,19.0,18.430704,0.5692959,0.43649298,0.2090909
101,19.0,18.42641,0.5735893,0.4404143,0.28636363
102,19.0,18.422117,0.57788277,0.44433567,0.30454546
103,19.0,18.417822,0.5821781,0.4482588,0.3181818
104,19.0,18.413528,0.58647156,0.45218012,0.3272727
105,19.0,18.409235,0.590765,0.45610145,0.3318182
106,19.0,18.404942,0.59505844,0.46002278,0.3272727
107,18.0,18.400648,-0.40064812,-0.44938937,0.33636364
108,17.0,18.396355,-1.3963547,-1.3588016,0.45909092
109,17.0,18.392061,-1.3920612,-1.3548802,0.5
